affliations,article_name,authors,doi,email_address,publishing_date,volume,type,author_id
,Goal Recognition Design in Deterministic Environments,"Sarah Keren,Avigdor Gal,Erez Karpas",https://doi.org/10.1613/jair.1.11551,,,Vol. 65 (2019),article,
,Dependency Learning for QBF,"Tomáš Peitl,Friedrich Slivovsky,Stefan Szeider",https://doi.org/10.1613/jair.1.11529,,,Vol. 65 (2019),article,
,Probabilistic Planning with Reduced Models,"Luis Pineda,Shlomo Zilberstein",https://doi.org/10.1613/jair.1.11569,,,Vol. 65 (2019),article,
,REBA: A Refinement-Based Architecture for Knowledge Representation and Reasoning in Robotics,"Mohan Sridharan,Michael Gelfond,Shiqi Zhang,Jeremy Wyatt",https://doi.org/10.1613/jair.1.11524,,,Vol. 65 (2019),article,
,A Coupled Operational Semantics for Goals and Commitments,"Pankaj R. Telang,Munindar P. Singh,Neil Yorke-Smith",https://doi.org/10.1613/jair.1.11494,,,Vol. 65 (2019),article,
,On Overfitting and Asymptotic Bias in Batch Reinforcement Learning with Partial Observability,"Vincent Francois-Lavet,Guillaume Rabusseau,Joelle Pineau,Damien Ernst,Raphael Fonteneau",https://doi.org/10.1613/jair.1.11478,,,Vol. 65 (2019),article,
,Encoding Domain Transitions for Constraint-Based Planning,"Nina Ghanbari Ghooshchi,Majid Namazi,M.A.Hakim Newton,Abdul Sattar",https://doi.org/10.1613/jair.5378,,,Vol. 58 (2017),article,
,Logics of Common Ground,"Tim Miller,Jens Pfau,Liz Sonenberg,Yoshihisa Kashima",https://doi.org/10.1613/jair.5381,,,Vol. 58 (2017),article,
,Improving the Efficiency of Dynamic Programming on Tree Decompositions via Machine Learning,"Michael Abseher,Nysret Musliu,Stefan Woltran",https://doi.org/10.1613/jair.5312,,,Vol. 58 (2017),article,
,Randomized Social Choice Functions Under Metric Preferences,"Elliot Anshelevich,John Postl",https://doi.org/10.1613/jair.5340,,,Vol. 58 (2017),article,
,Some Properties of Batch Value of Information  in the Selection Problem,"Shahaf S. Shperberg,Solomon Eyal Shimony",https://doi.org/10.1613/jair.5288,,,Vol. 58 (2017),article,
,Managing Different Sources of Uncertainty in a BDI Framework in a Principled Way with Tractable Fragments,"Kim Bauters,Kevin McAreavey,Weiru Liu,Jun Hong,Lluís Godo,Carles Sierra",https://doi.org/10.1613/jair.5287,,,Vol. 58 (2017),article,
,Combinatorial Multi-armed Bandits for Real-Time Strategy Games,Santiago Ontañón,https://doi.org/10.1613/jair.5398,,,Vol. 58 (2017),article,
,A Neural Probabilistic Structured-Prediction Method for Transition-Based Natural Language Processing,"Hao Zhou,Yue Zhang,Chuan Cheng,Shujian Huang,Xinyu Dai,Jiajun Chen",https://doi.org/10.1613/jair.5259,,,Vol. 58 (2017),article,
,A Probabilistic Formalization of the Appraisal for  the OCC Event-Based Emotions,"João Gluz,Patricia A. Jaques",https://doi.org/10.1613/jair.5320,,,Vol. 58 (2017),article,
,Explicit Document Modeling through Weighted Multiple-Instance Learning,"Nikolaos Pappas,Andrei Popescu-Belis",https://doi.org/10.1613/jair.5240,,,Vol. 58 (2017),article,
,Robots in Retirement Homes: Applying Off-the-Shelf Planning and Scheduling to a Team of Assistive Robots,"Tony T. Tran,Tiago Vaquero,Goldie Nejat,J. Christopher Beck",https://doi.org/10.1613/jair.5306,,,Vol. 58 (2017),article,
,New Canonical Representations by Augmenting OBDDs with Conjunctive Decomposition,"Yong Lai,Dayou Liu,Minghao Yin",https://doi.org/10.1613/jair.5271,,,Vol. 58 (2017),article,
,A Complexity Approach for Core-Selecting Exchange under Conditionally Lexicographic Preferences,"Etsushi Fujita,Julien Lesca,Akihisa Sonoda,Taiki Todo,Makoto Yokoo",https://doi.org/10.1613/jair.1.11254,,,Vol. 63 (2018),article,
,Approximation and Parameterized Complexity of Minimax Approval Voting,"Marek Cygan,Łukasz Kowalik,Arkadiusz Socała,Krzysztof Sornat",https://doi.org/10.1613/jair.1.11253,,,Vol. 63 (2018),article,
,LTL on Finite and Process Traces: Complexity Results and a Practical Reasoner,"Valeria Fionda,Gianluigi Greco",https://doi.org/10.1613/jair.1.11256,,,Vol. 63 (2018),article,
,Consequence-Based Reasoning for Description Logics with Disjunctions and Number Restrictions,"Andrew Bate,Boris Motik,Bernardo Cuenca Grau,David Tena Cucala,František Simančík,Ian Horrocks",https://doi.org/10.1613/jair.1.11257,,,Vol. 63 (2018),article,
,Proximal Gradient Temporal Difference Learning: Stable Reinforcement Learning with Polynomial Sample Complexity,"Bo Liu,Ian Gemp,Mohammad Ghavamzadeh,Ji Liu,Sridhar Mahadevan,Marek Petrik",https://doi.org/10.1613/jair.1.11251,,,Vol. 63 (2018),article,
